1400,362,79,223,49,18,74,10
1380,429,72,220,45,17,65,10
1420,372,75,220,48,18,74,9
1342,372,73,212,48,16,76,10
6098,871,152,592,261,36,110,30
3024,872,96,588,266,40,102,28
1996,508,94,584,286,38,102,30
1806,1364,93,576,317,35,100,29
1786,1758,91,578,347,35,110,27
1928,480,95,578,463,33,93,27
1725,454,90,568,488,32,102,25
1583,506,87,565,504,32,110,25
1644,482,87,561,514,34,99,26
1583,538,87,561,514,30,100,26
2273,513,91,625,180,18,95,18
2070,491,89,595,170,17,102,17
1585,470,97,602,175,17,100,17
2252,434,96,673,221,21,78,19
1840,438,92,683,251,23,74,22
2460,456,79,232,59,16,78,10
